iter	Passed	Remaining
399	105660	26415
400	105947	26156
401	106241	25899
402	106458	25624
403	106682	25350
404	106906	25076
405	107150	24808
406	107462	24555
407	107758	24298
408	108048	24040
409	108335	23781
410	108567	23509
411	108800	23238
412	109058	22973
413	109367	22718
414	109683	22465
415	109977	22206
416	110276	21949
417	110502	21677
418	110754	21410
419	111045	21151
420	111324	20889
421	111562	20620
422	111801	20351
423	112087	20091
424	112360	19828
425	112672	19572
426	112921	19305
427	113207	19044
428	113479	18780
429	113815	18528
430	114066	18261
431	114317	17994
432	114561	17726
433	114841	17464
434	115128	17203
435	115459	16948
436	115786	16692
437	116100	16434
438	116408	16175
439	116722	15916
440	116979	15650
441	117256	15386
442	117500	15118
443	117726	14848
444	118019	14586
445	118278	14320
446	118505	14050
447	118772	13786
448	119081	13526
449	119307	13256
450	119552	12989
451	119794	12721
452	120006	12451
453	120308	12189
454	120565	11924
455	120790	11655
456	121010	11386
457	121238	11117
458	121476	10850
459	121755	10587
460	121994	10320
461	122242	10054
462	122485	9788
463	122701	9519
464	122932	9252
465	123157	8985
466	123413	8720
467	123740	8460
468	123980	8194
469	124287	7933
470	124522	7666
471	124800	7403
472	125052	7138
473	125298	6872
474	125545	6607
475	125777	6341
476	126069	6078
477	126312	5813
478	126623	5551
479	126941	5289
480	127217	5025
481	127517	4762
482	127843	4499
483	128053	4233
484	128346	3969
485	128577	3703
486	128833	3439
487	129027	3172
488	129219	2906
489	129448	2641
490	129646	2376
491	129840	2111
492	130044	1846
493	130244	1581
494	130409	1317
495	130638	1053
496	130891	790
497	131107	526
498	131314	263
499	131544	0
